assetId,sourceCategory,runtimeFilename,runtimeBytes,triangleCount,materialCount,textureCount,duplicateStatus,matchedWith
coffee_table_039,coffee,runtime-assets/coffee_table_039.glb,188968,208,2,3,intentional_variant,
coffee_table_040,coffee,runtime-assets/coffee_table_040.glb,12444,194,1,1,metric_near_duplicate_candidate,coffee_table_030
coffee_table_068,coffee,runtime-assets/coffee_table_068.glb,238824,436,1,2,intentional_variant,
cupboard,cupboard,runtime-assets/cupboard.glb,160268,192,2,3,intentional_variant,
cupboard_001,cupboard,runtime-assets/cupboard_001.glb,158528,116,3,3,intentional_variant,
cupboard_002,cupboard,runtime-assets/cupboard_002.glb,307496,106,3,4,intentional_variant,
cupboard_003,cupboard,runtime-assets/cupboard_003.glb,146032,288,3,3,intentional_variant,
cupboard_004,cupboard,runtime-assets/cupboard_004.glb,234104,206,2,3,intentional_variant,
cupboard_005,cupboard,runtime-assets/cupboard_005.glb,233972,228,2,3,intentional_variant,
cupboard_006,cupboard,runtime-assets/cupboard_006.glb,255780,582,2,3,intentional_variant,
cupboard_007,cupboard,runtime-assets/cupboard_007.glb,30832,696,1,1,intentional_variant,
cupboard_008,cupboard,runtime-assets/cupboard_008.glb,22788,356,2,1,intentional_variant,
cupboard_009,cupboard,runtime-assets/cupboard_009.glb,553028,822,5,6,metric_near_duplicate_candidate,cupboard_082
cupboard_010,cupboard,runtime-assets/cupboard_010.glb,424072,306,4,6,intentional_variant,
cupboard_011,cupboard,runtime-assets/cupboard_011.glb,441060,126,3,5,intentional_variant,
cupboard_012,cupboard,runtime-assets/cupboard_012.glb,445064,216,3,5,intentional_variant,
cupboard_013,cupboard,runtime-assets/cupboard_013.glb,306992,36,3,4,intentional_variant,
cupboard_014,cupboard,runtime-assets/cupboard_014.glb,13772,172,3,1,intentional_variant,
cupboard_015,cupboard,runtime-assets/cupboard_015.glb,185296,154,2,3,intentional_variant,
cupboard_016,cupboard,runtime-assets/cupboard_016.glb,14460,222,2,1,intentional_variant,
cupboard_017,cupboard,runtime-assets/cupboard_017.glb,17564,256,3,1,intentional_variant,
cupboard_018,cupboard,runtime-assets/cupboard_018.glb,7024,60,1,1,metric_near_duplicate_candidate,cupboard_023
cupboard_019,cupboard,runtime-assets/cupboard_019.glb,168300,248,3,3,intentional_variant,
cupboard_020,cupboard,runtime-assets/cupboard_020.glb,257968,824,1,2,intentional_variant,
cupboard_021,cupboard,runtime-assets/cupboard_021.glb,522032,1252,4,6,intentional_variant,
cupboard_022,cupboard,runtime-assets/cupboard_022.glb,85384,1212,2,1,metric_near_duplicate_candidate,cupboard_024
