assetId,sourceCategory,displayCategory,displayName,thumbnailFilename,runtimeFilename,runtimeBytes,triangleCount,materialCount,textureCount,maxTextureDimension,runtimePolicyStatus
curtain_048,curtain,Decor,Curtain 48,thumbnails/curtain_048.webp,runtime-assets/curtain_048.glb,23380,764,2,1,512,PASS
curtain_010,curtain,Decor,Curtain 10,thumbnails/curtain_010.webp,runtime-assets/curtain_010.glb,23484,764,2,1,512,PASS
curtain_033,curtain,Decor,Curtain 33,thumbnails/curtain_033.webp,runtime-assets/curtain_033.glb,23484,764,2,1,512,PASS
curtain_011,curtain,Decor,Curtain 11,thumbnails/curtain_011.webp,runtime-assets/curtain_011.glb,23524,764,2,1,512,PASS
curtain_034,curtain,Decor,Curtain 34,thumbnails/curtain_034.webp,runtime-assets/curtain_034.glb,23524,764,2,1,512,PASS
lamp_027,lamp,Lighting,Lamp 27,thumbnails/lamp_027.webp,runtime-assets/lamp_027.glb,24496,482,4,1,512,PASS
sofa_029,sofa,Seating,Sofa 29,thumbnails/sofa_029.webp,runtime-assets/sofa_029.glb,24876,532,2,1,512,PASS
electronics_047,electronics,Decor,Electronics 47,thumbnails/electronics_047.webp,runtime-assets/electronics_047.glb,25348,600,1,1,512,PASS
curtain_014,curtain,Decor,Curtain 14,thumbnails/curtain_014.webp,runtime-assets/curtain_014.glb,25904,540,1,1,512,PASS
electronics_046,electronics,Decor,Electronics 46,thumbnails/electronics_046.webp,runtime-assets/electronics_046.glb,26344,600,1,1,512,PASS
curtain_030,curtain,Decor,Curtain 30,thumbnails/curtain_030.webp,runtime-assets/curtain_030.glb,26484,872,2,1,512,PASS
curtain_044,curtain,Decor,Curtain 44,thumbnails/curtain_044.webp,runtime-assets/curtain_044.glb,26484,872,2,1,512,PASS
curtain_006,curtain,Decor,Curtain 6,thumbnails/curtain_006.webp,runtime-assets/curtain_006.glb,26520,872,2,1,512,PASS
curtain_031,curtain,Decor,Curtain 31,thumbnails/curtain_031.webp,runtime-assets/curtain_031.glb,26520,872,2,1,512,PASS
curtain_045,curtain,Decor,Curtain 45,thumbnails/curtain_045.webp,runtime-assets/curtain_045.glb,26520,872,2,1,512,PASS
