assetId,sourceCategory,displayCategory,displayName,thumbnailFilename,thumbnailBytes,thumbnailWidth,thumbnailHeight,thumbnailAreaPct,thumbnailStatus,runtimeFilename,runtimeBytes,triangleCount,primitiveCount,materialCount,textureCount,maxTextureDimension,analyticalDecodedRGBABytes,policyVersion,conversionStatus,runtimePolicyStatus,geometryInvarianceStatus,gltfValidationStatus,prototypeDerivedRole,authoritativeSemanticRole
carpet_003,carpet,Decor,Carpet 3,thumbnails/carpet_003.webp,5394,256,192,50.05,skipped,runtime-assets/carpet_003.glb,230468,189,2,2,3,512,3145728,1,built,PASS,PASS,PASS,rug,
carpet_004,carpet,Decor,Carpet 4,thumbnails/carpet_004.webp,2218,256,192,24.09,skipped,runtime-assets/carpet_004.glb,120288,220,2,2,2,512,2097152,1,built,PASS,PASS,PASS,rug,
carpet_005,carpet,Decor,Carpet 5,thumbnails/carpet_005.webp,1028,256,192,34.54,skipped,runtime-assets/carpet_005.glb,9752,189,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_007,carpet,Decor,Carpet 7,thumbnails/carpet_007.webp,2386,256,192,50.29,skipped,runtime-assets/carpet_007.glb,11908,184,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_016,carpet,Decor,Carpet 16,thumbnails/carpet_016.webp,846,256,192,10.92,skipped,runtime-assets/carpet_016.glb,11836,184,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_017,carpet,Decor,Carpet 17,thumbnails/carpet_017.webp,1418,256,192,31.07,skipped,runtime-assets/carpet_017.glb,14264,321,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_018,carpet,Decor,Carpet 18,thumbnails/carpet_018.webp,2494,256,192,49.63,skipped,runtime-assets/carpet_018.glb,14264,321,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_020,carpet,Decor,Carpet 20,thumbnails/carpet_020.webp,1078,256,192,49.8,skipped,runtime-assets/carpet_020.glb,9752,189,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_022,carpet,Decor,Carpet 22,thumbnails/carpet_022.webp,1058,256,192,25.67,skipped,runtime-assets/carpet_022.glb,11908,184,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_029,carpet,Decor,Carpet 29,thumbnails/carpet_029.webp,1746,256,192,23.49,skipped,runtime-assets/carpet_029.glb,11808,220,2,2,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_039,carpet,Decor,Carpet 39,thumbnails/carpet_039.webp,1868,256,192,50.29,skipped,runtime-assets/carpet_039.glb,9756,189,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_053,carpet,Decor,Carpet 53,thumbnails/carpet_053.webp,1864,256,192,50.29,skipped,runtime-assets/carpet_053.glb,9752,189,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_062,carpet,Decor,Carpet 62,thumbnails/carpet_062.webp,1254,256,192,49.39,skipped,runtime-assets/carpet_062.glb,9752,189,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
carpet_067,carpet,Decor,Carpet 67,thumbnails/carpet_067.webp,1398,256,192,50.05,skipped,runtime-assets/carpet_067.glb,9756,189,2,1,1,512,1048576,1,built,PASS,PASS,PASS,rug,
chair,chair,Seating,Chair,thumbnails/chair.webp,3568,256,192,45.73,skipped,runtime-assets/chair.glb,654096,516,4,4,6,512,6291456,1,built,PASS,PASS,PASS,armchair,
chair_001,chair,Seating,Chair 1,thumbnails/chair_001.webp,1408,256,192,27.13,skipped,runtime-assets/chair_001.glb,8000,142,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_002,chair,Seating,Chair 2,thumbnails/chair_002.webp,1646,256,192,38.76,skipped,runtime-assets/chair_002.glb,9000,160,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_003,chair,Seating,Chair 3,thumbnails/chair_003.webp,1654,256,192,47.38,skipped,runtime-assets/chair_003.glb,8472,136,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_004,chair,Seating,Chair 4,thumbnails/chair_004.webp,1042,256,192,25.74,skipped,runtime-assets/chair_004.glb,8312,130,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_005,chair,Seating,Chair 5,thumbnails/chair_005.webp,1386,256,192,26.89,skipped,runtime-assets/chair_005.glb,8308,130,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_006,chair,Seating,Chair 6,thumbnails/chair_006.webp,1010,256,192,28.2,skipped,runtime-assets/chair_006.glb,7748,106,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_007,chair,Seating,Chair 7,thumbnails/chair_007.webp,990,256,192,28.74,skipped,runtime-assets/chair_007.glb,7744,106,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_008,chair,Seating,Chair 8,thumbnails/chair_008.webp,1206,256,192,22.48,skipped,runtime-assets/chair_008.glb,96764,374,2,2,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_009,chair,Seating,Chair 9,thumbnails/chair_009.webp,1998,256,192,27.77,skipped,runtime-assets/chair_009.glb,11752,232,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_010,chair,Seating,Chair 10,thumbnails/chair_010.webp,1912,256,192,25.05,skipped,runtime-assets/chair_010.glb,10788,258,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_011,chair,Seating,Chair 11,thumbnails/chair_011.webp,2426,256,192,41.59,skipped,runtime-assets/chair_011.glb,528044,768,2,2,4,512,4194304,1,built,PASS,PASS,PASS,armchair,
chair_012,chair,Seating,Chair 12,thumbnails/chair_012.webp,1572,256,192,24.97,skipped,runtime-assets/chair_012.glb,14796,318,2,2,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_013,chair,Seating,Chair 13,thumbnails/chair_013.webp,2672,256,192,38.32,skipped,runtime-assets/chair_013.glb,225892,680,2,2,3,512,3145728,1,built,PASS,PASS,PASS,armchair,
chair_014,chair,Seating,Chair 14,thumbnails/chair_014.webp,1192,256,192,23.93,skipped,runtime-assets/chair_014.glb,95096,452,2,2,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_015,chair,Seating,Chair 15,thumbnails/chair_015.webp,2790,256,192,48.18,skipped,runtime-assets/chair_015.glb,190876,346,2,2,3,512,3145728,1,built,PASS,PASS,PASS,armchair,
chair_016,chair,Seating,Chair 16,thumbnails/chair_016.webp,1262,256,192,14.26,skipped,runtime-assets/chair_016.glb,92984,248,3,3,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_017,chair,Seating,Chair 17,thumbnails/chair_017.webp,1914,256,192,17.58,skipped,runtime-assets/chair_017.glb,92604,354,2,2,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_018,chair,Seating,Chair 18,thumbnails/chair_018.webp,1402,256,192,17.71,skipped,runtime-assets/chair_018.glb,92060,322,2,2,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_019,chair,Seating,Chair 19,thumbnails/chair_019.webp,1052,256,192,19.68,skipped,runtime-assets/chair_019.glb,13860,278,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_020,chair,Seating,Chair 20,thumbnails/chair_020.webp,1972,256,192,28.03,skipped,runtime-assets/chair_020.glb,92080,400,2,2,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_021,chair,Seating,Chair 21,thumbnails/chair_021.webp,2168,256,192,19.2,skipped,runtime-assets/chair_021.glb,94564,442,2,2,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_022,chair,Seating,Chair 22,thumbnails/chair_022.webp,1562,256,192,19.79,skipped,runtime-assets/chair_022.glb,92148,360,2,2,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_023,chair,Seating,Chair 23,thumbnails/chair_023.webp,2430,256,192,29.82,skipped,runtime-assets/chair_023.glb,233628,376,1,1,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_024,chair,Seating,Chair 24,thumbnails/chair_024.webp,1334,256,192,28.57,skipped,runtime-assets/chair_024.glb,91220,380,2,2,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_025,chair,Seating,Chair 25,thumbnails/chair_025.webp,1574,256,192,22.41,skipped,runtime-assets/chair_025.glb,12668,180,2,2,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_026,chair,Seating,Chair 26,thumbnails/chair_026.webp,1086,256,192,30.31,skipped,runtime-assets/chair_026.glb,23064,452,1,1,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_027,chair,Seating,Chair 27,thumbnails/chair_027.webp,1374,256,192,26.62,skipped,runtime-assets/chair_027.glb,31084,808,2,2,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
chair_028,chair,Seating,Chair 28,thumbnails/chair_028.webp,2714,256,192,30.59,skipped,runtime-assets/chair_028.glb,256220,704,1,1,2,512,2097152,1,built,PASS,PASS,PASS,armchair,
chair_029,chair,Seating,Chair 29,thumbnails/chair_029.webp,3398,256,192,36.13,skipped,runtime-assets/chair_029.glb,332244,316,2,2,3,512,3145728,1,built,PASS,PASS,PASS,armchair,
chair_030,chair,Seating,Chair 30,thumbnails/chair_030.webp,1290,256,192,27.16,skipped,runtime-assets/chair_030.glb,237648,740,2,2,3,512,3145728,1,built,PASS,PASS,PASS,armchair,
chair_031,chair,Seating,Chair 31,thumbnails/chair_031.webp,2232,256,192,23.58,skipped,runtime-assets/chair_031.glb,330176,654,3,3,4,512,4194304,1,built,PASS,PASS,PASS,armchair,
chair_032,chair,Seating,Chair 32,thumbnails/chair_032.webp,2978,256,192,23.13,skipped,runtime-assets/chair_032.glb,277008,2684,3,3,3,512,3145728,1,built,PASS,PASS,PASS,armchair,
chair_033,chair,Seating,Chair 33,thumbnails/chair_033.webp,2060,256,192,22.75,skipped,runtime-assets/chair_033.glb,73584,1932,2,2,1,512,1048576,1,built,PASS,PASS,PASS,armchair,
